#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC,UnionRewindInclude
14,Put Your Records On,"Scary Pockets,Louis Cato",22,115,"retro soul, ",R&B,Magic Hour,9/2/2022,3:54,51,57,4,0,70,0,30,-7,G Major,4,3/14/2025,2MHxwCTeoXtFQ8sk19UsFz,"Pockets, Inc.",9B,QZPJ32165118,1
15,Dial Drunk,Noah Kahan,69,112,,,Stick Season (We'll All Be Here Forever),6/9/2023,3:33,70,59,9,0,63,0,10,-8,G#/A♭ Major,4,3/14/2025,0caJ2wkqp4UmXBwdR2JvB5,Mercury Records/Republic Records,4B,USUM72307683,1
16,I Was Dancing In The Lesbian Bar,Jonathan Richman,46,117,proto-punk,Rock,"I, Jonathan",1/1/1992,3:43,83,39,68,0,90,0,20,-14,A Minor,4,3/14/2025,2UayKZmrsYyjNj6T8frugJ,Rounder Records,8A,USRO29203605,1
17,The Boys Are Back In Town,"Yung Gravy,Pouya,Ramirez,TrippyThaKid",58,155,"meme rap, dark trap, underground hip hop, horrorcore, emo rap, cloud rap",Hip Hop,Sensational,5/31/2019,2:27,85,70,21,0,64,30,10,-6,G#/A♭ Major,4,3/14/2025,4Mqfhqtb5WmondLWYsCCrz,Republic Records,4B,USUM71907209,1
18,pretty isn’t pretty,Olivia Rodrigo,71,124,,,GUTS,9/8/2023,3:19,56,85,0,0,57,0,0,-4,D Major,4,3/14/2025,6W9l02gRsXVxzIuQC1oc1X,Olivia Rodrigo PS,10B,USUG12305002,1
19,Morals,EST Gee,0,153,,,Ion Feel Nun,3/6/2020,1:46,85,62,17,0,52,40,0,-6,E Minor,4,3/14/2025,2iH9GpCXGGG0avbfEHN3mW,Everybody Shine Together Ent.,9A,TCAES2012826,1
20,Stella Brown,Jelani Aryeh,53,125,,,I've Got Some Living To Do,7/30/2021,3:06,73,48,27,7,55,0,20,-8,D Major,4,3/14/2025,6n6dqOk5vLiqYaa9Fw5ylH,No Matter,10B,USA2P2010684,1
21,Hannah Ford Road,Luke Combs,57,131,country,Country,Gettin' Old,3/24/2023,3:38,52,96,0,0,49,0,30,-6,C♯/D♭ Minor,4,3/14/2025,5gy5oMthJa807ihJik4U3O,River House Artists/Columbia Nashville,12A,US6XF2200439,1
22,ceilings,Lizzy McAlpine,79,148,,,five seconds flat,4/8/2022,3:02,52,32,47,0,26,0,20,-12,A Major,3,3/14/2025,2L9N0zZnd37dwF0clgxMGI,Harbour Artists & Music,11B,GBKPL2280163,1
23,Malang Sajna,"Sachet Tandon,Parampara Tandon,Kumaar,Sachet-Parampara",72,114,"bhajan, hindi pop, devotional, bollywood, desi pop, desi","New age, Hip Hop, Pop",Malang Sajna,12/19/2022,2:41,74,74,53,0,81,0,30,-4,A#/B♭ Major,4,3/14/2025,73K33p4Vyz9koXGqmL5eFs,T-Series,6B,INS182203702,1
24,FE!N (feat. Playboi Carti),"Travis Scott,Playboi Carti",86,148,"rap, rage rap",Hip Hop,UTOPIA,7/28/2023,3:11,57,88,3,0,20,0,10,-3,D#/E♭ Minor,4,3/14/2025,42VsgItocQwOQC3XWZ8JNA,Cactus Jack/Epic,2A,USSM12305010,1
25,Quittin' Time - Live,Zach Bryan,45,159,"country, red dirt",Country,All My Homies Hate Ticketmaster (Live from Red Rocks),12/25/2022,3:57,36,91,21,0,26,10,70,-6,A#/B♭ Major,4,3/14/2025,19z4eJ5O67unwL3cnFtHj5,Warner Records,6B,USWB12207882,1
26,ball w/o you,21 Savage,79,138,,,i am > i was,12/21/2018,3:15,89,63,5,0,46,0,10,-7,G#/A♭ Major,4,3/14/2025,50a8bKqlwDEqeiEknrzkTO,"Slaughter Gang, LLC/Epic Records",4B,QZ45A1700093,1
27,Everything I Love,Morgan Wallen,59,104,country,Country,3 Songs At A Time Sampler,1/31/2023,3:07,57,84,1,0,71,0,10,-4,G#/A♭ Major,4,3/14/2025,0cv6mTbrqr8vxGC31NjKtM,Big Loud Records / Mercury Records / Republic Records,4B,USUG12300803,1
28,Stars (feat. Yasiin Bey),"JID,Yasiin Bey",59,118,,,The Forever Story (Extended Version),10/31/2022,4:18,49,58,43,0,36,20,20,-11,A#/B♭ Minor,4,3/14/2025,1SsbAUqPSt20PhHAuVSDNu,Dreamville/Interscope,3A,USUM72214827,1
29,Boys Of Faith (feat. Bon Iver),"Zach Bryan,Bon Iver",67,200,"country, red dirt, indie folk","Country, Folk/Acoustic",Boys Of Faith (feat. Bon Iver),9/21/2023,2:50,30,58,39,0,16,0,0,-6,C♯/D♭ Major,4,3/14/2025,4Zj2uX6ApCFK9XzjwIhCIr,Warner Records,3B,USWB12305748,1
30,BOOM!,Scootie Wop,36,150,"christian hip hop, gospel r&b, christian","Hip Hop, R&B",BOOM!,4/22/2022,2:08,90,36,2,0,52,40,20,-8,G#/A♭ Major,4,3/14/2025,113skO9vBmK90HKSJhcDMK,STARRBABY WRLDWIDE,4B,QZHN52221147,1
31,Ghost Town,"Kanye West,PARTYNEXTDOOR",78,83,"rap, r&b","R&B, Hip Hop",ye,6/1/2018,4:31,57,55,10,0,30,0,30,-4,G Minor,4,3/14/2025,7vgTNTaEz3CsBZ1N4YQalM,"Getting Out Our Dreams, Inc./Def Jam Recordings",6A,USUM71807761,1
32,Chasin' You,Morgan Wallen,79,97,country,Country,If I Know Me,4/27/2018,3:25,63,59,67,0,49,0,10,-6,G Major,4,3/14/2025,0WiyWiJDkNCyGNqkv7NByy,Big Loud,9B,QZ22S1800006,1
33,Good Things Fall Apart (with Jon Bellion),"ILLENIUM,Jon Bellion",55,144,"melodic bass, future bass, edm, ",Electronic,Good Things Fall Apart (with Jon Bellion),5/13/2019,3:36,64,59,1,0,44,0,10,-5,D Major,4,3/14/2025,6pooRNiLyYpxZeIA5kJ5EX,Astralwerks,10B,USUG11901088,1
34,Ms. Jones,Sidney Bird,38,118,,,Snowbird,5/3/2023,2:46,81,58,1,0,82,0,10,-8,F Major,4,3/14/2025,0eueV3Wt0eLdw3KLbmhwsc,BK Records,7B,GBRKQ2265485,1
35,Mine Again,Zach Bryan,59,154,"country, red dirt",Country,American Heartbreak,5/20/2022,3:44,49,65,4,0,34,0,0,-6,G Major,4,3/14/2025,6b8LUVmacXlMUl4wRtCD2S,Warner Records,9B,USWB12201478,1
36,Follow God,Kanye West,72,180,rap,Hip Hop,JESUS IS KING,10/25/2019,1:44,53,90,0,0,43,40,0,-4,C♯/D♭ Major,4,3/14/2025,2QpGZOhTCHHiKmpSO9FW4h,Getting Out Our Dreams II / Def Jam Recordings,3B,USUM71920463,1
37,Anogo,Tayc,42,75,"pop urbaine, afrobeats, afrobeat, zouk","Traditional music, R&B, Hip Hop, Latin",Anogo,12/6/2022,3:10,42,73,29,0,42,30,10,-7,B Minor,3,3/14/2025,4TS6GJz8xn4suZRv3yHUnf,Play Two,10A,FR8FB2224200,1
38,Free Bird,Lynyrd Skynyrd,77,118,"southern rock, classic rock, rock",Rock,Pronounced' Leh-'Nerd 'Skin-'Nerd,1/1/1973,9:07,25,83,7,0,34,0,0,-8,C Major,4,3/14/2025,5EWPGh7jbTNO2wakv8LjUI,Geffen*,8B,USMC17301722,1
39,Duvet,bôa,83,93,,,Twilight,3/21/2001,3:23,58,89,19,0,71,0,0,-9,B Minor,4,3/14/2025,42qNWdLKCI41S4uzfamhFM,Nettwerk Music Group,10A,USCGJ0659337,1
40,Lady May,Tyler Childers,74,81,"country, red dirt, alt country, texas country, bluegrass",Country,Purgatory,8/4/2017,3:03,54,16,88,0,32,0,10,-13,D#/E♭ Major,4,3/14/2025,3t5OV1asJHmOlf23T08CLv,Hickman Holler Records,5B,QZ84K1700010,1
41,绒花,李谷一,11,88,c-pop,Pop,绒花,12/4/2023,3:31,26,15,91,4,12,0,40,-17,G Major,4,3/14/2025,6W6fLUrtTHHyBHHjM8ioQO,"China Recording Group Co., Ltd",9B,QZZ972352181,1
42,Virgil 2,OT7 Quanny,47,130,,,Virgil 2,12/15/2022,2:05,83,66,1,0,40,30,0,-4,G Major,4,3/14/2025,5dhB7gkH0VM8vEfzZfTzcP,OT7 Records,9B,QZTB62251434,1
43,Trophies,"Young Money,Drake",70,144,"rap, hip hop",Hip Hop,Rise Of An Empire (Deluxe Edition),1/1/2014,3:08,74,69,16,0,28,30,10,-7,C♯/D♭ Major,4,3/14/2025,6HfOzLLjsaXsehIFEsrxTk,Cash Money Records/Motown Records,3B,USCM51400038,1
44,Đám Cưới Trong Mây,"Mimetals,Thắng",27,85,"vietnam indie, v-pop, vietnamese hip hop","Pop, Hip Hop",Miền Đất Còn Lại,6/6/2022,4:31,52,40,5,3,21,0,10,-9,G#/A♭ Major,4,3/14/2025,2NkmcXu9OgDAvP8OT56GHi,Mimetals,4B,FR59R2299387,1
45,3 Nights,Dominic Fike,70,152,,,"Don't Forget About Me, Demos",10/16/2018,2:57,82,52,22,0,88,0,10,-7,G Minor,4,3/14/2025,1tNJrcVe6gwLEiZCtprs1u,Columbia,6A,USQX91802455,1
46,Chasing Pavements,Adele,71,80,soft pop,Pop,19,1/28/2008,3:30,62,47,29,0,33,0,10,-6,F Minor,4,3/14/2025,56pHllZT7QOacB0bP56ofx,XL Recordings,4A,GBBKS0700574,1
47,Big Rich Town,"50 Cent,Joe",46,92,"east coast hip hop, r&b, quiet storm, smooth r&b","Hip Hop, R&B, R&b",Big Rich Town,5/19/2014,2:48,74,68,20,0,73,20,10,-8,C♯/D♭ Major,4,3/14/2025,4BnFtKaBTYJ07sosJsTjdU,G-UNIT RECORDS (GNR),3B,TCABW1435232,1
48,The Man Who Can't Be Moved,The Script,59,100,,,The Script,9/8/2008,4:01,61,63,42,0,33,0,10,-5,A#/B♭ Major,4,3/14/2025,4Musyaro0NM5Awx8b5c627,Phonogenic,6B,GBARL0800144,1
49,September,"Earth, Wind & Fire",73,126,disco,R&B,"The Best Of Earth, Wind & Fire Vol. 1",11/23/1978,3:35,70,83,17,0,98,0,20,-7,A Major,4,3/14/2025,2grjqo0Frpf2okIBiifQKs,Columbia/Legacy,11B,USSM17800845,1
50,Blue Skies,Moxie,41,95,,,The Fall LP,9/21/2018,2:49,80,71,30,0,77,0,30,-6,C Major,4,3/14/2025,0PcK6RbnO4NbpN7IrzWzMY,Moxie,8B,CAHQJ1867736,1
51,"So Alright, Cool, Whatever",The Happy Fits,54,130,,,Concentrate,6/15/2018,3:11,69,64,10,0,76,0,0,-5,C Major,4,3/14/2025,47rOmlKHPYyMDM3h6L74Sn,The Happy Fits Records,8B,GBMJG1808926,1
52,Never Going Back Again - 2004 Remaster,Fleetwood Mac,69,176,"classic rock, soft rock",Rock,Rumours (Super Deluxe),2/4/1977,2:14,65,34,86,39,95,0,0,-13,F#/G♭ Major,4,3/14/2025,19Shlms2uTnOjIUg50TXzd,Rhino/Warner Records,2B,USWB11301112,1
53,123456,Fitz and The Tantrums,42,170,,,All the Feels,9/20/2019,3:04,72,96,16,0,81,0,0,-5,A#/B♭ Major,4,3/14/2025,5O3nMjk8xL7n4TIh0tym4i,Elektra (NEK),6B,USAT21901788,1
54,How to disappear,Lana Del Rey,71,79,,,Norman Fucking Rockwell!,8/30/2019,3:48,54,30,61,0,7,0,10,-12,A Major,3,3/14/2025,4qUtC2BwFC154Ha8YQRrkk,Polydor Records,11B,GBUM71903148,1
55,Cavalry,Watchhouse,52,124,"bluegrass, americana, folk, newgrass","Country, Folk/Acoustic",This Side of Jordan,8/20/2013,3:16,48,27,91,0,44,0,0,-11,D Major,4,3/14/2025,3gBCDuoNqvJrBxphIAbxtz,Yep Roc Records,10B,USY1R1333805,1
56,2 Grown (feat. The Kid LAROI),"Lil Tjay,The Kid LAROI",66,97,"brooklyn drill, melodic rap, ",Hip Hop,222,7/14/2023,3:52,67,37,58,0,42,0,20,-11,B Major,4,3/14/2025,5ybZcAwqUF7i9gwABLeXzs,Columbia,1B,USSM12304665,1
57,departure!,Masatoshi Ono,60,160,anime,Pop,“HUNTER×HUNTER”Single,8/22/2012,4:17,36,93,1,0,48,0,0,-5,A#/B♭ Minor,4,3/14/2025,68XJP1sxQ5aiwbDJ8McUSr,VAP,3A,JPVP01107401,1
58,Homegrown,Zac Brown Band,66,105,"country, acoustic country",Country,JEKYLL + HYDE,4/28/2015,3:25,71,81,2,0,94,0,0,-4,F#/G♭ Major,4,3/14/2025,2kR18wsL3gvXRXdNE4dCGc,Home Grown Music,2B,USUG11500005,1
59,Redbone,Childish Gambino,31,160,,," Awaken, My Love! ",12/2/2016,5:26,75,35,17,1,60,10,10,-11,C♯/D♭ Major,4,3/14/2025,0WtDGnWL2KrMCk0mI1Gpwz,Glassnote Entertainment Group LLC,3B,USYAH1600107,1
60,Fake Out,Fall Out Boy,52,180,"emo, pop punk, emo pop","Rock, Pop",So Much (For) Stardust,3/24/2023,3:29,49,86,1,0,55,0,10,-5,B Minor,4,3/14/2025,41M7guw2h3mo6d47DJ5Tx7,Fueled By Ramen,10A,USAT22220572,1
61,Bang Bang,"K'NAAN,Adam Levine",72,180,,,Troubadour,2009-00-00,3:06,62,90,8,0,90,10,0,-4,A#/B♭ Minor,4,3/14/2025,61YzdCCBPM5Pc7lIiD5i8C,Interscope Records*,3A,USUM70951244,1
62,Hey Driver (feat. The War and Treaty),"Zach Bryan,The War And Treaty",75,79,"country, red dirt, ",Country,Zach Bryan,8/25/2023,3:47,58,35,49,0,46,0,30,-6,C Major,4,3/14/2025,4pCbJC43j3gSqG6Fen6upD,Warner Records,8B,USWB12304897,1
63,Find Me,"Working On Dying,LUCKI",48,121,"rage rap, cloud rap",Hip Hop,Waiting to Die,12/4/2020,2:16,85,54,2,0,48,20,20,-8,C♯/D♭ Major,4,3/14/2025,0tnIksvF5wPa3LW2TzvuDZ,Working On Dying,3B,QMEU32024753,1
64,S&M,Rihanna,55,128,,,Loud,11/15/2010,4:03,77,68,1,0,83,0,10,-5,C♯/D♭ Major,4,3/14/2025,2u02eLj96Atd6TBxkH9YvN,Def Jam Recordings,3B,USUM71026591,1
65,Sleepless,AP Dhillon,54,115,"punjabi hip hop, punjabi pop, desi, bhangra, desi hip hop, desi pop","Traditional music, Hip Hop, Pop",Sleepless,7/14/2023,2:36,75,69,14,0,52,10,10,-6,G Major,4,3/14/2025,6TJ8etbh8uFFLuVbLj25lz,Mass Appeal India,9B,QMBZ92330323,1
66,Hurts Me,"Tory Lanez,Trippie Redd,Yoko Gold",75,150,"melodic rap, ",Hip Hop,Hurts Me,6/27/2023,2:20,55,79,4,0,67,0,10,-5,G#/A♭ Minor,4,3/14/2025,0RBw4ODUQPO4cuAOZtBGga,One Umbrella Records,1A,QZJ842003380,1
67,Why,Dominic Fike,68,117,,,What Could Possibly Go Wrong,7/31/2020,2:19,68,86,34,1,34,0,10,-3,F#/G♭ Major,4,3/14/2025,1xLs8Mu1QEVbGCpyHQ2r2U,Columbia,2B,USQX92003248,1
68,The Night Café,Clint Mansell,43,113,soundtrack,Easy listening,Loving Vincent (Original Soundtrack Album),2017-00-00,4:07,34,31,97,96,4,0,0,-16,D Minor,4,3/14/2025,51NAGtuMHI3x2KfrMc86z4,Masterworks,7A,US5941407837,1
69,Come Home,"Neb,Korusai",41,160,,,Lost,10/20/2023,1:18,81,44,86,0,76,40,10,-12,A#/B♭ Minor,4,3/14/2025,3F9XnCl0LsNhFWJy5Lq1Rh,nebman22,3A,QZTB82322935,1
70,Герой с тысячью лиц,Plamenev,23,101,,,The Hero with a Thousand Faces,6/27/2021,3:15,52,87,1,0,51,0,50,-6,B Minor,4,3/14/2025,5exYS2BNhK3rrjz03HVQgf,Plamenev,10A,QZHZ62127073,1
71,Body,The Presidents Of The United States Of America,36,123,"grunge, alternative rock",Rock,The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition,1/1/1995,4:11,67,47,25,0,57,0,10,-8,B Major,4,3/14/2025,6RarbamnsfnsqP5J5ASV9t,PUSA Music,1B,US35G0400030,1
72,El Dorado,Zach Bryan,61,92,"country, red dirt",Country,Zach Bryan,8/25/2023,3:02,35,59,68,0,36,0,10,-6,D#/E♭ Major,4,3/14/2025,7C1BLYzAvR0KdBpov3GpUZ,Warner Records,5B,USWB12304902,1
73,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Metro Boomin,Future,Lil Uzi Vert",62,135,"rap, melodic rap",Hip Hop,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),6/2/2023,4:05,78,56,18,0,27,10,20,-7,A Minor,4,3/14/2025,0B6g379TMw0nYGXA7y5xHz,Republic Records,8A,USUM72308541,1
74,sugar honey ice & tea,Bring Me The Horizon,59,147,"metalcore, emo, screamo, rock, post-hardcore, metal","Rock, Metal",amo,1/25/2019,4:21,43,91,0,1,53,0,50,-4,C Minor,4,3/14/2025,3Ddgh4ZwVIkLx0f4WeDFmo,RCA Records Label,5A,GBARL1801499,1
75,Fine By Me,Andy Grammer,62,90,,,Andy Grammer,6/14/2011,2:52,58,79,1,0,88,0,0,-4,B Major,4,3/14/2025,00V8KJuZ0a089fa25Lc9t7,S-Curve Records,1B,USZXT1108633,1
76,Other Side,Madison Ryann Ward,45,120,gospel r&b,R&B,Beyond Me,7/12/2019,3:14,69,24,83,0,63,0,10,-10,A#/B♭ Minor,4,3/14/2025,3dUIzCsA4m6qOgoHjoIibU,Republic Records,3A,USUM71912858,1
77,500lbs,Lil Tecca,69,123,"melodic rap, rap",Hip Hop,500lbs,7/21/2023,2:24,72,78,10,0,53,0,10,-5,G Minor,4,3/14/2025,1xWkeSPhf3bZqHY7Ncz8vp,Galactic / Republic Records,6A,USUM72309854,1
78,Hey Lover,The Daughters Of Eve,71,128,,,Hey Lover / Stand by Me,2/5/1966,2:24,48,48,26,0,69,0,30,-11,G Minor,4,3/14/2025,0bhwnn2xqnBUcMZDcXNuII,"USA Records a division of 43 North Broadway, LLC.",6A,QM4TW2176822,1
79,Tennessee Numbers,Morgan Wallen,59,156,country,Country,One Thing At A Time,3/3/2023,3:45,42,77,4,0,30,0,10,-5,F#/G♭ Major,4,3/14/2025,5NzfnUyVaNrxa2VtoyBWlR,Big Loud Records / Mercury Records / Republic Records,2B,USUG12300809,1
80,Sailing,The Soul Generation,5,86,,,Beyond Body And Soul,6/6/2007,3:38,41,53,80,64,72,0,10,-14,D#/E♭ Major,4,3/14/2025,42HRoRY2Bze7M6X8olusNo,Game Entertainment,5B,US2Y30741573,1
81,Rolling Out the Red Carpet,Hail The Sun,53,106,"post-hardcore, math rock",Rock,Wake,9/23/2014,2:05,53,46,34,62,23,0,40,-8,A#/B♭ Major,3,3/14/2025,5ShA1hnZOOtZZHiObVtrzT,Rise Records,6B,USHM91404604,1
82,"Dance, Dance",Fall Out Boy,76,114,"emo, pop punk, emo pop","Rock, Pop",From Under The Cork Tree,5/3/2005,3:00,62,96,1,0,45,10,0,-3,B Minor,4,3/14/2025,0a7BloCiNzLDD9qSQHh5m7,Island Records,10A,USDJ20500174,1
83,Flashbacks,Zach Hood,52,100,,,Flashbacks,1/8/2021,3:03,55,45,88,0,49,0,0,-7,B Major,4,3/14/2025,4SeZpWSgq1c8a0MY3iVy1f,SELENE,1B,USANG2129382,1
84,Synthcity,Klaus Veen,20,119,house,Electronic,Blaze,4/22/2018,4:39,78,76,3,22,22,0,10,-8,E Minor,4,3/14/2025,5PT2SHv2y6r9IFnbEAuyw1,Klaus Veen Records,9A,TCADP1852586,1
85,Sunshine,Asake,55,115,"afrobeats, afrobeat, afropiano, afro adura, afropop, amapiano, afroswing","Traditional music, R&B, Pop, Electronic",Work Of Art,6/15/2023,3:05,78,82,26,9,58,0,20,-8,C♯/D♭ Minor,4,3/14/2025,3Yr0vIcfXq5MWdSDmZzKgk,YBNL Nation / EMPIRE,12A,USUYG1490051,1
86,Ms. Jackson,Outkast,82,95,"southern hip hop, hip hop",Hip Hop,Stankonia,10/31/2000,4:30,84,81,14,0,61,20,0,-6,E Minor,4,3/14/2025,0I3q5fE6wg7LIfHGngUTnV,Arista/LaFace Records,9A,USLF20000357,1
87,Can't Tell Me Nothing,Kanye West,81,80,rap,Hip Hop,Graduation,9/11/2007,4:31,59,62,1,0,11,0,80,-6,F Minor,4,3/14/2025,0mEdbdeRFQwBhN4xfyIeUM,Roc-A-Fella,4A,USUM70739239,1
88,June 22nd,Lil Tjay,52,160,"brooklyn drill, melodic rap",Hip Hop,222,7/14/2023,3:10,69,67,13,0,30,30,70,-6,B Minor,4,3/14/2025,6Yt0M7Q8apD5sxtgYry7wK,Columbia,10A,USSM12303993,1
89,Living on the Sand,Colter Wall,57,153,"gothic country, country, red dirt, alt country, bluegrass, americana",Country,Imaginary Appalachia,6/2/2015,3:21,44,27,68,33,42,0,10,-11,A Minor,3,3/14/2025,5OGNHvvp6qzzO4gb8ZfXGm,La Honda Records/RCA Records,8A,CA55J1542004,1
90,Stop It,FISHER,63,124,"tech house, house, techno","Electronic, Hip Hop",Oi Oi,11/10/2017,2:43,86,82,2,66,88,0,20,-7,G#/A♭ Major,4,3/14/2025,627JZ3dVd88Xc5IoHOeNT5,DIRTYBIRD,4B,GBLV61708214,1
91,Country Song,Seether,63,96,"post-grunge, alternative metal, rock","Metal, Rock",Holding Onto Strings Better Left To Fray,1/1/2011,3:49,63,86,0,0,91,0,20,-6,C Major,4,3/14/2025,2abHKI9Oox4NBEhOh3HMbq,Fantasy Records,8B,USWU31000150,1
92,Alright,Kendrick Lamar,83,110,"hip hop, west coast hip hop",Hip Hop,To Pimp A Butterfly,3/16/2015,3:39,80,77,7,0,56,20,0,-6,G Major,4,3/14/2025,3iVcZ5G6tvkXZkZKlMpIUs,Aftermath,9B,USUM71502498,1
93,Rhiannon,Fleetwood Mac,74,129,"classic rock, soft rock",Rock,Fleetwood Mac,7/11/1975,4:12,72,49,11,9,80,0,0,-15,A Minor,4,3/14/2025,05oETzWbd4SI33qK2gbJfR,Warner Records,8A,USWB19900188,1
94,Bags,Clairo,79,105,bedroom pop,Pop,Immunity,8/2/2019,4:20,74,55,17,38,87,0,10,-8,C♯/D♭ Major,4,3/14/2025,6UFivO2zqqPFPoQYsEMuCc,FADER Label,3B,US4HB1900080,1
95,American Spirits,Drumming Bird,38,99,,,American Spirits,5/19/2022,4:04,46,40,89,33,40,0,0,-10,D Major,4,3/14/2025,5z8B0dkCXBlT35RvGHyDXp,Drumming Bird,10B,GBKPL2293474,1
96,Make U Mine,morgen,27,150,,,Make U Mine,1/18/2023,2:25,49,87,8,1,59,30,50,-6,C♯/D♭ Minor,4,3/14/2025,3emFKAQ8FVcOKqQZrkMCMN,Avoca Drive,12A,AUBM02200350,1
97,Saturn,Sleeping At Last,66,145,,,Atlas: I,7/8/2014,4:49,17,24,64,31,4,0,10,-14,D#/E♭ Major,4,3/14/2025,3tJjZMHLqhD8DaGgdBICnc,Asteroid B-612,5B,USGES1480018,1
98,Hold Me My Daddy - 2001 Remaster,XTC,18,121,"new wave, power pop, post-punk","Rock, Pop",Oranges & Lemons,1989-00-00,3:47,54,85,2,0,66,0,20,-4,D Major,4,3/14/2025,0Nsog06niMVwPJaxlJtBWD,Virgin Records,10B,GBAAA0001116,1
99,Atrae Mi Corazón,"Marcos Brunet,Toma Tu Lugar",50,126,"worship, christian","Hip Hop, Pop",Toma Tu Lugar,7/1/2011,7:05,50,15,86,0,13,0,30,-13,A Minor,4,3/14/2025,7bt8WjPT8Yyy4ovkKkhP9D,Toma Tu Lugar,8A,TCAAZ1116144,1
100,drive ME crazy!,Lil Yachty,73,107,,,Let’s Start Here.,1/27/2023,3:49,50,83,17,0,44,0,30,-4,A#/B♭ Minor,4,3/14/2025,6luBKkFUt5wTwz7hpLhp12,Quality Control Music/Motown Records,3A,USUG12207176,1
